chr1,122880001,128000000
chr1,128000001,133120000
chr1,133120001,138240000
chr1,138240001,143360000
chr1,143360001,148480000
chr2,87040001,92160000
chr2,92160001,97280000
chr5,46080001,51200000
chr6,56320001,61440000
chr7,56320001,61440000
chr9,40960001,46080000
chr9,46080001,51200000
chr9,51200001,56320000
chr9,56320001,61440000
chr9,61440001,66560000
chr9,66560001,71680000
chr11,51200001,56320000
chr13,1,5120000
chr13,5120001,10240000
chr13,10240001,15360000
chr13,15360001,20480000
chr14,1,5120000
chr14,5120001,10240000
chr14,10240001,15360000
chr14,15360001,20480000
chr15,1,5120000
chr15,5120001,10240000
chr15,10240001,15360000
chr15,15360001,20480000
chr15,102400001,102531392
chr16,35840001,40960000
chr16,40960001,46080000
chr17,20480001,25600000
chr18,15360001,20480000
chr20,25600001,30720000
chr21,1,5120000
chr21,5120001,10240000
chr21,10240001,15360000
chr22,1,5120000
chr22,5120001,10240000
chr22,10240001,15360000
chr22,51200001,51304566
chrX,56320001,61440000
chrY,1,5120000
chrY,10240001,15360000
chrY,25600001,30720000
chrY,30720001,35840000
chrY,35840001,40960000
chrY,40960001,46080000
chrY,46080001,51200000
chrY,51200001,56320000
chrY,56320001,59373566
